codigo_ibge,nome,latitude,longitude,UF,Munic,NMunic,Populacao
2929008,São Félix,13.0,39.0,29.0,29008.0,SÃO FÉLIX,15302.0
2110807,São Félix de Balsas,7.0,45.0,21.0,10807.0,SÃO FÉLIX DE BALSAS,4398.0
3161056,São Félix de Minas,19.0,41.0,31.0,61056.0,SÃO FÉLIX DE MINAS,3387.0
5107859,São Félix do Araguaia,12.0,51.0,51.0,7859.0,SÃO FÉLIX DO ARAGUAIA,10713.0
2929057,São Félix do Coribe,13.0,44.0,29.0,29057.0,SÃO FÉLIX DO CORIBE,12815.0
2209609,São Félix do Piauí,6.0,42.0,22.0,9609.0,SÃO FÉLIX DO PIAUÍ,3132.0
1720150,São Félix do Tocantins,10.0,47.0,17.0,20150.0,SÃO FÉLIX DO TOCANTINS,1409.0
1507300,São Félix do Xingu,7.0,52.0,15.0,7300.0,SÃO FÉLIX DO XINGU,59238.0
4318309,São Gabriel,30.0,54.0,43.0,18309.0,SÃO GABRIEL,76446.0
1303809,São Gabriel da Cachoeira,0.0,67.0,13.0,3809.0,SÃO GABRIEL DA CACHOEIRA,39129.0
3204708,São Gabriel da Palha,19.0,41.0,32.0,4708.0,SÃO GABRIEL DA PALHA,28878.0
5007695,São Gabriel do Oeste,19.0,55.0,50.0,7695.0,SÃO GABRIEL DO OESTE,20524.0
3161502,São Geraldo,21.0,43.0,31.0,61502.0,SÃO GERALDO,9171.0
3161601,São Geraldo da Piedade,19.0,42.0,31.0,61601.0,SÃO GERALDO DA PIEDADE,4768.0
1507458,São Geraldo do Araguaia,6.0,49.0,15.0,7458.0,SÃO GERALDO DO ARAGUAIA,24872.0
3161650,São Geraldo do Baixio,19.0,41.0,31.0,61650.0,SÃO GERALDO DO BAIXIO,3253.0
3304904,São Gonçalo,23.0,43.0,33.0,4904.0,SÃO GONÇALO,
3161700,São Gonçalo do Abaeté,18.0,46.0,31.0,61700.0,SÃO GONÇALO DO ABAETÉ,6156.0
2412005,São Gonçalo do Amarante,6.0,35.0,24.0,12005.0,SÃO GONÇALO DO AMARANTE,117675.0
2209757,São Gonçalo do Gurguéia,10.0,45.0,22.0,9757.0,SÃO GONÇALO DO GURGUÉIA,2455.0
3161809,São Gonçalo do Pará,20.0,45.0,31.0,61809.0,SÃO GONÇALO DO PARÁ,10308.0
2209807,São Gonçalo do Piauí,6.0,43.0,22.0,9807.0,SÃO GONÇALO DO PIAUÍ,4342.0
3161908,São Gonçalo do Rio Abaixo,20.0,43.0,31.0,61908.0,SÃO GONÇALO DO RIO ABAIXO,9233.0
3125507,São Gonçalo do Rio Preto,18.0,43.0,31.0,25507.0,SÃO GONÇALO DO RIO PRETO,3124.0
3162005,São Gonçalo do Sapucaí,22.0,46.0,31.0,62005.0,SÃO GONÇALO DO SAPUCAÍ,22751.0
2929305,São Gonçalo dos Campos,12.0,39.0,29.0,29305.0,SÃO GONÇALO DOS CAMPOS,29205.0
3162104,São Gotardo,19.0,46.0,31.0,62104.0,SÃO GOTARDO,30757.0
4318408,São Jerônimo,30.0,52.0,43.0,18408.0,SÃO JERÔNIMO,20506.0
